street_name,cleaning_day
SPEAKMAN ALLEY,Wednesday
STANDISH BLVD,Wednesday
SUNNYHILL DR,Wednesday
TOWERCREST DR,Wednesday
VEE LYNN DR,Wednesday
VERNON DR,Wednesday
VIRGINIA WAY,Wednesday
WASHINGTON RD,Wednesday
WHITNEY LN,Wednesday
WOODHAVEN DR,Wednesday
YOUNGWOOD RD,Wednesday
ABINGTON DR,Thursday
ADELINE AVE,Thursday
ALFRED ST,Thursday
ANAWANDA AVE,Thursday
AUDUBON AVE,Thursday
BIRCH AVE,Thursday
BRAFFERTON DR,Thursday
BRIARWOOD AVE,Thursday
BRIDGEWATER DR,Thursday
BROADMOOR AVE,Thursday
BUCHANAN PL,Thursday
CASTLE SHANNON BLVD,Thursday
CATALPA PL,Thursday
CENTRAL SQ,Thursday
CORNELL PL,Thursday
COUNTRY CLUB DR,Thursday
CRAIG CT,Thursday
CRYSTAL DR,Thursday
CYPRESS WAY,Thursday
DEWALT DR,Thursday
EARLSWOOD AVE,Thursday
FERNWOOD AVE,Thursday
FIELDBROOK DR,Thursday
FRUITHURST DR,Thursday
GAZLEY LN,Thursday
HAVERFORD CIR,Thursday
HAVERHILL RD,Thursday
RIGHVUE RD,Thursday
RILF ST,Thursday
JONQUIL PL,Thursday
KENILWORTH DR,Thursday
LANCASTER AVE,Thursday
LAWNCROFT AVE,Thursday
LINDENWOOD AVE,Thursday
LOVINGSTON DR,Thursday
MCNEILLY RD,Thursday
MERIDIAN DR,Thursday
MERION DR,Thursday
MILBETH DR,Thursday
OLD FARM RD,Thursday
PARKSIDE AVE,Thursday
PEARCE RD,Thursday
PENNSYLVANIA BLVD (EAST OF T),Thursday
QUESTEND AVE,Thursday
RICHLAND RD,Thursday
ROCK SPRINGS RD,Thursday
ROSELAWN AVE,Thursday
ROSEMONT AVE,Thursday
SCOTT RD,Thursday
SHADY DR E,Thursday
SLEEPY HOLLOW RD,Thursday
SPRUCETON AVE,Thursday
SUMMIT DR,Thursday
SUNSET DR,Thursday
TAMPA AVE,Thursday
THORNWOOD DR,Thursday
THORNYCROFT AVE,Thursday
VALLEY PARK DR,Thursday
WESTOVER RD,Thursday
WISTERIA AVE,Thursday
WYNNEWOOD DR,Thursday
ABBEYVILLE RD,Friday
ALLENBERRY CIR,Friday
ASHLAND AVE,Friday
AVON DR,Friday
BARTH AVE,Friday
